-8.372192	-8.131069	-4.958741	-6.156074	15.52844
-8.133762	-6.724238	-4.391778	-4.762518	16.34484
-2.062341	-8.198683	-3.124222	3.530518	15.42185
-8.727614	-6.792305	-4.252963	-7.652	12.97754
-9.521259	-6.749012	-6.039629	-6.572814	16.20584
-9.133985	-6.787819	-5.40637	-6.760222	14.63519
-6.043911	-7.569876	-4.28637	1.440815	16.83895
-9.0968	-5.917572	-6.186296	-1.242815	17.91418
-9.614251	-6.526955	-5.099481	-5.059407	14.77646
-7.47037	-7.211317	-5.824296	2.431556	16.80284
-7.944088	-6.506584	-4.204444	-5.11	16.65598
-3.748355	-7.347243	-4.711333	4.645555	16.34493
-6.518651	-6.69786	-5.432074	-0.7854815	15.1859
-8.295007	-6.211276	-5.302444	-3.700815	15.24457
-7.670089	-6.311687	-5.048518	-4.46	16.45757
-9.482518	-5.933456	-4.759111	-5.872	14.87658
-7.704163	-7.402469	-4.575629	-2.705629	14.79999
-2.444192	-6.199012	-2.419185	-2.490296	15.46739
-9.489274	-6.3193	-4.346592	-7.246074	13.99079
-9.826089	-6.112716	-4.813704	-8.297926	12.33691
-9.218163	-6.262387	-4.602592	-6.564	15.07011
-8.626148	-6.589053	-4.948148	-4.373259	15.95114
-7.715955	-6.039629	-4.457333	-2.916222	16.94536
-8.576903	-6.648066	-5.444	-1.630074	15.77488
-7.623926	-6.657778	-4.382222	-1.710222	18.08518
-9.299377	-6.286872	-4.602	-4.716222	15.66641
-9.049155	-6.581893	-5.507703	-3.496222	16.38443
-9.688088	-5.609835	-4.067185	-5.975111	14.53415
-9.312652	-5.971522	-5.611778	-5.041037	15.09069
-6.886089	-6.983292	-4.159185	-3.151629	17.4586
-9.260785	-5.661769	-3.531926	-8.253407	14.92178
-8.866919	-6.104239	-4.084741	-1.902741	15.69475
-8.519303	-6.325226	-4.187481	-0.6939259	17.99143
-7.700637	-5.95502	-3.265555	-2.517481	15.0551
-7.115614	-6.329012	-5.174889	-2.185037	15.39836
-6.272518	-6.552387	-5.157556	1.533185	17.93812
-8.510948	-5.375679	-4.103778	-5.756963	14.32591
-8.857985	-5.625556	-5.840148	-5.752148	16.87235
-7.424341	-4.991934	-5.942667	-2.533704	17.96895
